etablissement,contreventions
BISTRO ET PATISSERIE CARMEL,3
RESTAURANT BUFFALO BILL WINGS,3
ECOLE MAIMONIDE,3
ANTIGUA,3
POISSONNERIE CASABLANCA (1999),3
ALIMENTS SANO,3
BAGEL HENRI BOURASSA,3
SUPERMARCHE B. ET G.,3
RESTAURANT DELICIEUX,3
RESTAURANT SUSHI CRYSTAL,3
DIM SUM MONTREAL (CAMION PLAQUE L441462-4),3
MOMMY POISSON ET FRITES,3
EGGSPECTATION (OTAGO),3
MIMIMELON,3
INTER MARCHE  BEAUBIEN,3
MARCHE REYNALD,3
ROTISSERIE MONTEIRO,3
RESTAURANT PETER'S CAPE COD,3
PIZZERIA LA FRITA,3
"PRINCE, RESTAURANT APPORTEZ VOTRE VIN",3
EUROMARCHE FLEURY,3
MARCHE YASMINE ET FRERES INC.,3
DELICES D'ASIE DU MARCHE JEAN-TALON,3
RESTAURANT NILUFAR,3
RESTAURANT FAMEUX VIANDE FUMEE ET CHARCUTERIE,3
RESTAURANT CARVELI,3
MELI-MELO CARAIBE INC.,3
RIZ ET NOUILLES (KIM FU),3
LES 3 BRASSEURS,3
PORK AND PICKLE (DOM -1),3
PIZZA PINOLI,3
RESTAURANT MON SHING,3
RESTAURANT LOMBARDIE,3
MARCHE PIE-IX,3
MCKIBBIN'S IRISH PUB,3
PIZZERIA ALMONDO,3
MARCHE ORIENTAL ST-DENIS INC.,3
CHAMPION PIZZA,3
RESTAURANT LE VILLAGE GREC,3
GOLDEN,3
RESTAURANT GEORGE,3
LA FUSION INDIENNE,3
SATONUT,3
TRATTORIA IL PIATTO PIENO,3
CAFE NOIR,3
RESTAURANT JAWNIES,3
LA BRIOCHE +,3
RESTAURANT LA BELLE PLACE (2009),3
PIZZERIA VILLERAY,3
RESTAURANT DELI BOURASSA,3
BOUCHERIE DU MARCHE,3
PITA ROYALE,3
PANAME RESTAURANT,3
HAPPY LAMB HOT POT,3
BOULANGERIE MONTREAL (LA BOULANGERIE MODERNE BREAD.CO),3
CAFE NEURO (CAFE VIENNE),3
BARBES CAFE-RESTO,3
CASSE-CROUTE CREOLE AUX ANTILLES,3
VERITAS CAFE,3
CASSE-CROUTE RESTO PAM,3
RESTAURANT M.EPICE,3
CASEY'S RESTO BAR,3
STEVEN FINKELSTEIN (LE CAPITAINE),3
RESTAURANT PHO BANG NEW YORK,3
MARCHE BOTINDA,3
BASSE EXPRESS,3
DELICATESSEN POINTE CLAIRE,3
LA CONCESSION,3
CHEZ KHADY,3
L'OEUVRE DES SAMARITAINS,3
BOUCHERS CAPITOL,3
RESTAURANT EUROPEA,3
SUSHI PALACE INC.,3
SUCRERIES KRISHNA,3
CHEZ NOURA,3
GREEN TRAITEUR & CAFÉ,3
RESTAURANT RAJA,3
RESTAURANT THAI EXPRESS,3
RESTAURANT WAH FUNG (KAM FUNG),3
AU PARASOL CHINOIS,3
LE CUPIDON D'OR DELI & GRILL,3
LA CANNOISE,3
ROUGE SANTE II (CLUB SPORTIF COTE-DE-LIESSE),3
RESTAURANT PHO HAOI,3
FRUITERIE ET CHARC. PREMIER CHOIX INC.,3
ROTISSERIE ROASTERS,3
RESTAURANT LE SURFIN 8005,3
MARCHE THAI HOUR,3
MERSON'S PATISSERIE,3
BOULANGERIE DE FROMENT ET DE SEVE,3
MARCHE YASINE,3
PATISSERIE MAISON MOTTAS,3
LES VOLAILLES ET GIBIERS DU MARCHE,3
BOUL. PATISSERIE CHARCUTERIE SAPORI VERI,3
RESTAURANT LE LAI,3
8498 INTER-MARCHE PALUMBO DESORMEAUX,3
RESTAURANT LE COQ EXQUIS,3
CHARCUTERIE NOEL,3
DEPANNEUR R.P.,3
LA PIZZERIA TIME,3
RESTAURANT BUFFET MAHARAJA,3
SUSHI-YA,3
DELI-PANNEUR,3
LE DEPANNEUR CAFE,3
PASTERIA LA MOLISANA,3
RESTAURANT LE BEAUJOLAIS,3
RESTAURANT MINAR,3
FRUITERIE FORCIER,2
MAISON DU NORD CHINOIS 2008,2
L'GROS LUXE MILE END,2
ROTISSERIE COQ-O-BEC,2
COCO PRALIN,2
NOTRE-BOEUF-DE-GRACE,2
AMICI PIZZA PASTA GRIGLIATA,2
CULTURES ET VALENTINE,2
DORVAL BAR + GRILL (LES ALIMENTS MEL GOURMET),2
PALAIS MAHARAJA,2
ELIXOR RESTAURANT,2
CAFE COYOTE,2
RESTAURANT CHEZ PING INC.,2
PECHEUR DU MARCHE,2
RESTAURANT LES DEUX COPAINS,2
RESTAURANT YIA SOU,2
BOULANGERIE PATISSERIE C CHAUD,2
TONKIN EXPRESS,2
MARCHE FERDOUS,2
MARCHE SALABERRY,2
JUKEBOX BURGERS ET BAR LAITIERS,2
MARCHE AMI,2
RESTAURANT AL MANAR,2
RESTAURANT NIKAS SOUVLAKI,2
FITZROY (BOUL NOIR),2
PIZZA ET POULET EXPRESS,2
EGGSCLUSIF,2
CHARCUTERIE SAMOS,2
RESTAURANT LAHORE KARAHI,2
RESTAURANT GOMBO,2
CAFE  BISTRO SOUVENIR,2
CASSE-CROUTE CHEZ PAGI,2
MARCHÉ SHENG TAI,2
KABAB,2
VICTORIA STAR,2
BOUCHERIE CHARCUTERIE BENITO,2
MARCHE DE LUXE,2
VUA SANDWICHS,2
DEPANNEUR BELLEVIE,2
LA BELLE ANNE,2
RESTAURANT TAKARA INC.  # 417,2
RESTAURANT MAKKAH,2
PHO MONT-ROYAL,2
LES FILLETTES,2
RESTAURANT TRANS-CANADA,2
RESTAURANT HARMONIE ORIENTALE,2
BUFFET FU LAM,2
RESTO BAR PORTARA,2
RESTAURANT DRAGON MAGNIFIQUE,2
MARIUS ET FANNY CHOCOLATIER,2
SECOND PIZZA,2
NOUVEAU MARCHE MEGHNA INC.,2
LA PATISSERIE FRANCAISE BEL AIR,2
TIKI-MING,2
BOULANGERIE SALEM,2
POULET FRIT KENTUCKY/TACO BELL #1121,2
DEPANNEUR FLEUR BLEUE,2
RESTAURANT FISSHU,2
RESTAURANT SHAHI PALACE,2
RESTAURANT EMERAUDE DE BANGKOK,2
L'ARTIZAN PIZZA,2
NOUVEAU SOUS-MARINS ROYAL,2
RESTAURANT NGUYEN PHI,2
LA PREP,2
BOULANGERIE KASCHER DE QUALITE,2
EXPO CHENNAI,2
CAFETERIA COOP HEC,2
PASTA CAFE,2
GÂTEAU LE ROYAL,2
VIA MARCELLO RESTAURANT,2
O DEUX SOEURS,2
RESTAURANT IRIS,2
LES ALIMENTS BON JOUR INC.,2
CAFE RESTO CHEZ AKEF (TAXIS),2
AUTOUR D'UN PAIN,2
NOUVELLE RESERVE MC GILL ENR.,2
RESTAURANT JANANI,2
RESTAURANT TRATTORIA TEVERE,2
RESTAURANT KOMIKO,2
LA CECILIA,2
KLONDIKE,2
BISTRO IL CENTRO DA CARLO,2
PIZZA ST-LAURENT,2
RESTAURANT FUNG SHING,2
MARCHE NUVO,2
RESTO CAFE JOJO'S,2
MANDYS,2
RESTAURANT LYLA,2
PHO THANH,2
NEW MARCHE 786,2
MARCHE AKHAVAN,2
LES COCHONS TOUT RONDS,2
MARCHE SELECT-CHOIX,2
LE PARADIS DES FRUITS,2
BOULANGERIE PATISSERIE GUIZOT,2
MINI-EMANUELLE ME #234A,2
PIZZA PLANETE,2
RESTAURANT ST-AUBIN,2
MARCHE EPICURE,2
RESTAURANT ORIENTAL NGAN DINH,2
RESTAURANT IL BOCCALINI,2
POT DE LUZY,2
RESTAURANT BASHA 08 INC.,2
PIZZA WELLINGTON,2
POISSONNERIE NORGATE,2
BAR & PIZZERIA FIORELLINO,2
BOULANGERIE BON MARCHE CANTOR,2
RESTAURANT MAISON DE CURRIE GOLDEN INC.,2
